date,W-N1 near dam,W-N2 near dam,W-M1 mid fan,W-M2 mid fan,W-F1 far,KS sarchah,W-N3 noisy,C-1 control,C-2 control,C-3 control
2025-05-25,12.283,12.016,11.325,10.738,10.425,11.747,10.569,9.88,9.76,9.803
2025-06-01,12.389,11.879,11.092,10.816,10.565,11.461,10.856,9.845,9.987,9.752
2025-06-08,12.352,11.844,11.348,10.94,10.593,11.481,10.854,9.942,9.765,9.576
2025-06-15,12.386,11.87,11.289,10.936,10.507,11.539,10.998,9.927,9.654,9.828
2025-06-22,12.287,11.951,11.12,10.896,10.427,11.521,11.274,9.981,9.757,9.618
2025-06-29,12.323,11.842,11.171,10.696,10.486,11.616,10.961,9.947,9.636,9.486
2025-07-06,12.35,11.773,11.231,10.583,10.394,11.559,10.773,9.829,9.647,9.53
2025-07-13,12.265,11.898,11.197,10.829,10.503,11.387,10.973,9.721,9.733,9.516
2025-07-20,12.316,11.825,11.15,10.758,10.211,11.559,11.202,9.777,9.729,9.607
2025-07-27,12.216,11.914,11.156,10.847,10.346,11.46,10.743,9.801,9.605,9.559
2025-08-03,12.231,11.781,11.129,10.861,10.166,11.598,10.744,9.75,9.733,9.537
2025-08-10,12.221,11.645,11.159,10.787,10.203,11.437,11.055,9.703,9.733,9.618
2025-08-17,12.148,11.623,11.281,10.844,10.476,11.428,10.872,9.753,9.743,9.577
2025-08-24,12.276,11.888,10.868,10.776,10.418,11.515,11.053,9.678,9.647,9.562
2025-08-31,12.194,11.888,11.093,10.801,10.247,11.527,10.898,9.654,9.71,9.56
2025-09-07,12.229,11.712,11.129,10.658,10.16,11.497,11.048,9.717,9.407,9.571
2025-09-14,12.265,11.69,11.136,10.71,10.007,11.324,10.66,9.649,9.538,9.291
2025-09-21,12.262,11.855,11.066,10.748,10.244,11.5,10.881,9.692,9.48,9.459
2025-09-28,12.28,11.624,10.926,10.814,10.536,11.375,10.835,9.687,9.563,9.272
2025-10-05,12.222,11.644,11.135,10.68,10.336,11.479,10.613,9.569,9.496,9.491
2025-10-12,12.201,11.786,11.277,10.782,10.236,11.35,10.537,9.618,9.53,9.486
2025-10-19,12.235,11.698,10.955,10.699,10.341,11.505,11.034,9.769,9.713,9.591
2025-10-26,12.114,11.74,11.201,10.72,10.141,11.413,10.811,9.561,9.529,9.608
2025-11-02,12.143,11.735,11.089,10.831,10.273,11.383,10.669,9.486,9.584,9.513
2025-11-09,12.165,11.79,11.124,10.528,10.319,11.554,10.88,9.509,9.53,9.448
2025-11-16,12.203,11.898,11.035,10.614,10.308,11.528,11.158,9.665,9.563,9.554
2025-11-23,12.329,11.792,11.119,10.605,10.405,11.473,10.419,9.671,9.563,9.46
2025-11-30,12.24,11.856,11.295,10.523,10.371,11.653,10.603,9.666,9.61,9.522
2025-12-07,12.299,11.629,11.237,10.718,10.415,11.517,10.741,9.78,9.684,9.631
2025-12-14,12.45,11.825,11.367,10.888,10.291,11.571,11.279,9.477,9.737,9.488
2025-12-21,12.335,11.77,11.326,10.789,10.463,11.607,11.033,9.732,9.626,9.636
2025-12-28,12.441,11.753,11.268,10.857,10.549,11.553,11.154,9.835,9.662,9.635
