ONT_ID,BUILDING_ID,FDH_ID,DIST_ID,LON,LAT,SERVICE,STATUS,BANDWIDTH_MBPS
ONT-059,BLD-059,FDH-02,DZ-02,69.151002,34.56226,Residential,Planned,200
ONT-060,BLD-060,FDH-03,DZ-03,69.214037,34.53868,Residential,Connected,200
ONT-061,BLD-061,FDH-03,DZ-03,69.21469,34.528295,Enterprise,Connected,100
ONT-062,BLD-062,FDH-01,DZ-01,69.167397,34.52551,Enterprise,Planned,50
ONT-063,BLD-063,FDH-05,DZ-05,69.175746,34.491086,SME,Planned,1000
ONT-064,BLD-064,FDH-02,DZ-02,69.14269,34.563528,Residential,Connected,200
ONT-065,BLD-065,FDH-02,DZ-02,69.139917,34.560564,Residential,Connected,100
ONT-066,BLD-066,FDH-05,DZ-05,69.182956,34.485235,SME,Connected,1000
ONT-067,BLD-067,FDH-02,DZ-02,69.145706,34.5602,Enterprise,Connected,500
ONT-068,BLD-068,FDH-05,DZ-05,69.175972,34.484068,SME,Connected,1000
ONT-069,BLD-069,FDH-03,DZ-03,69.217204,34.532845,SME,Connected,50
ONT-070,BLD-070,FDH-01,DZ-01,69.177031,34.52459,Enterprise,Connected,500
ONT-071,BLD-071,FDH-03,DZ-03,69.21214,34.540011,Residential,Connected,200
ONT-072,BLD-072,FDH-03,DZ-03,69.21686,34.523032,Residential,Connected,1000
ONT-073,BLD-073,FDH-01,DZ-01,69.175978,34.525001,Enterprise,Planned,200
ONT-074,BLD-074,FDH-01,DZ-01,69.174252,34.530285,SME,Planned,200
ONT-075,BLD-075,FDH-02,DZ-02,69.147636,34.562964,Residential,Connected,500
ONT-076,BLD-076,FDH-03,DZ-03,69.216939,34.536774,SME,Connected,500
ONT-077,BLD-077,FDH-02,DZ-02,69.152236,34.565769,SME,Connected,1000
ONT-078,BLD-078,FDH-02,DZ-02,69.150249,34.567838,SME,Connected,50
ONT-079,BLD-079,FDH-02,DZ-02,69.146134,34.566454,SME,Planned,500
ONT-080,BLD-080,FDH-01,DZ-01,69.169384,34.52363,SME,Connected,50
