LON,LAT,ELEV_M
69.09,34.525,1778.8
69.09,34.53,1780.8
69.09,34.535,1782.5
69.09,34.54,1784.3
69.09,34.545,1786.0
69.09,34.55,1787.8
69.09,34.555,1789.7
69.09,34.56,1791.6
69.09,34.565,1793.6
69.09,34.57,1795.6
69.09,34.575,1797.6
69.09,34.58,1799.6
69.09,34.585,1801.6
69.09,34.59,1803.6
69.09,34.595,1805.6
69.09,34.6,1807.6
69.09,34.605,1809.6
69.09,34.61,1811.6
69.095,34.46,1752.0
69.095,34.465,1754.0
69.095,34.47,1756.0
69.095,34.475,1758.0
69.095,34.48,1760.0
69.095,34.485,1762.0
69.095,34.49,1764.1
69.095,34.495,1766.3
69.095,34.5,1768.6
69.095,34.505,1771.2
69.095,34.51,1773.9
69.095,34.515,1776.7
69.095,34.52,1779.4
69.095,34.525,1781.6
69.095,34.53,1783.4
69.095,34.535,1784.7
69.095,34.54,1785.9
69.095,34.545,1787.2
69.095,34.55,1788.6
69.095,34.555,1790.3
69.095,34.56,1792.1
69.095,34.565,1794.0
69.095,34.57,1796.0
69.095,34.575,1798.0
69.095,34.58,1800.0
69.095,34.585,1802.0
69.095,34.59,1804.0
69.095,34.595,1806.0
69.095,34.6,1808.0
69.095,34.605,1810.0
69.095,34.61,1812.0
69.1,34.46,1752.4
69.1,34.465,1754.4
69.1,34.47,1756.4
69.1,34.475,1758.4
69.1,34.48,1760.4
69.1,34.485,1762.5
69.1,34.49,1764.7
69.1,34.495,1767.1
69.1,34.5,1769.9
69.1,34.505,1773.3
69.1,34.51,1777.2
69.1,34.515,1781.3
69.1,34.52,1784.9
69.1,34.525,1787.6
69.1,34.53,1788.9
69.1,34.535,1789.3
69.1,34.54,1789.2
69.1,34.545,1789.3
69.1,34.55,1789.9
69.1,34.555,1791.1
69.1,34.56,1792.7
69.1,34.565,1794.5
69.1,34.57,1796.4
69.1,34.575,1798.4
69.1,34.58,1800.4
69.1,34.585,1802.4
69.1,34.59,1804.4
69.1,34.595,1806.4
69.1,34.6,1808.4
69.1,34.605,1810.4
69.1,34.61,1812.4
69.105,34.46,1752.8
69.105,34.465,1754.8
69.105,34.47,1756.8
69.105,34.475,1758.8
69.105,34.48,1760.9
69.105,34.485,1763.0
69.105,34.49,1765.4
69.105,34.495,1768.3
69.105,34.5,1772.2
69.105,34.505,1777.2
69.105,34.51,1783.4
69.105,34.515,1789.9
69.105,34.52,1795.5
69.105,34.525,1798.9
69.105,34.53,1799.5
69.105,34.535,1797.9
69.105,34.54,1795.4
69.105,34.545,1793.2
69.105,34.55,1792.2
69.105,34.555,1792.3
69.105,34.56,1793.4
69.105,34.565,1795.0
69.105,34.57,1796.9
69.105,34.575,1798.8
69.105,34.58,1800.8
69.105,34.585,1802.8
69.105,34.59,1804.8
69.105,34.595,1806.8
69.105,34.6,1808.8
69.105,34.605,1810.8
69.105,34.61,1812.8
69.11,34.46,1753.2
69.11,34.465,1755.2
69.11,34.47,1757.2
69.11,34.475,1759.2
69.11,34.48,1761.3
69.11,34.485,1763.6
69.11,34.49,1766.4
69.11,34.495,1770.1
69.11,34.5,1775.6
69.11,34.505,1783.4
69.11,34.51,1793.3
69.11,34.515,1804.0
69.11,34.52,1812.8
69.11,34.525,1817.5
69.11,34.53,1816.8
69.11,34.535,1812.0
69.11,34.54,1805.3
69.11,34.545,1799.4
69.11,34.55,1795.6
69.11,34.555,1794.1
69.11,34.56,1794.4
69.11,34.565,1795.6
69.11,34.57,1797.3
69.11,34.575,1799.2
69.11,34.58,1801.2
69.11,34.585,1803.2
69.11,34.59,1805.2
69.11,34.595,1807.2
69.11,34.6,1809.2
69.11,34.605,1811.2
69.11,34.61,1813.2
69.115,34.46,1753.6
69.115,34.465,1755.6
69.115,34.47,1757.6
69.115,34.475,1759.7
69.115,34.48,1761.8
69.115,34.485,1764.3
69.115,34.49,1767.5
69.115,34.495,1772.4
69.115,34.5,1780.2
69.115,34.505,1791.7
69.115,34.51,1806.8
69.115,34.515,1823.0
69.115,34.52,1836.3
69.115,34.525,1842.7
69.115,34.53,1840.3
69.115,34.535,1831.0
69.115,34.54,1818.8
69.115,34.545,1807.7
69.115,34.55,1800.2
69.115,34.555,1796.4
69.115,34.56,1795.5
69.115,34.565,1796.3
69.115,34.57,1797.8
69.115,34.575,1799.6
69.115,34.58,1801.6
69.115,34.585,1803.6
69.115,34.59,1805.6
69.115,34.595,1807.6
69.115,34.6,1809.6
69.115,34.605,1811.6
69.115,34.61,1813.6
69.12,34.46,1754.0
69.12,34.465,1756.0
69.12,34.47,1758.0
69.12,34.475,1760.1
69.12,34.48,1762.3
69.12,34.485,1765.0
69.12,34.49,1768.8
69.12,34.495,1774.9
69.12,34.5,1785.2
69.12,34.505,1800.8
69.12,34.51,1821.4
69.12,34.515,1843.8
69.12,34.52,1862.0
69.12,34.525,1870.2
69.12,34.53,1866.0
69.12,34.535,1851.8
69.12,34.54,1833.4
69.12,34.545,1816.8
69.12,34.55,1805.1
69.12,34.555,1798.9
69.12,34.56,1796.7
69.12,34.565,1796.9
69.12,34.57,1798.3
69.12,34.575,1800.1
69.12,34.58,1802.0
69.12,34.585,1804.0
69.12,34.59,1806.0
69.12,34.595,1808.0
69.12,34.6,1810.0
69.12,34.605,1812.0
69.12,34.61,1814.0
69.125,34.46,1754.4
69.125,34.465,1756.5
69.125,34.47,1758.5
69.125,34.475,1760.6
69.125,34.48,1762.9
69.125,34.485,1765.7
69.125,34.49,1769.9
69.125,34.495,1777.1
69.125,34.5,1789.3
69.125,34.505,1808.1
69.125,34.51,1833.2
69.125,34.515,1860.4
69.125,34.52,1882.5
69.125,34.525,1892.1
69.125,34.53,1886.4
69.125,34.535,1868.4
69.125,34.54,1845.1
69.125,34.545,1824.0
69.125,34.55,1809.1
69.125,34.555,1800.9
69.125,34.56,1797.8
69.125,34.565,1797.6
69.125,34.57,1798.7
69.125,34.575,1800.5
69.125,34.58,1802.4
69.125,34.585,1804.4
69.125,34.59,1806.4
69.125,34.595,1808.4
69.125,34.6,1810.4
69.125,34.605,1812.4
69.125,34.61,1814.4
69.13,34.46,1754.9
69.13,34.465,1756.9
69.13,34.47,1759.0
69.13,34.475,1761.2
69.13,34.48,1763.6
69.13,34.485,1766.5
69.13,34.49,1770.9
69.13,34.495,1778.4
69.13,34.5,1791.3
69.13,34.505,1811.4
69.13,34.51,1838.1
69.13,34.515,1867.1
69.13,34.52,1890.6
69.13,34.525,1900.8
69.13,34.53,1894.5
69.13,34.535,1875.0
69.13,34.54,1849.9
69.13,34.545,1827.1
69.13,34.55,1810.9
69.13,34.555,1802.0
69.13,34.56,1798.4
69.13,34.565,1798.0
69.13,34.57,1799.2
69.13,34.575,1800.9
69.13,34.58,1802.8
69.13,34.585,1804.8
69.13,34.59,1806.8
69.13,34.595,1808.8
69.13,34.6,1810.8
69.13,34.605,1812.8
69.13,34.61,1814.8
69.135,34.46,1755.4
69.135,34.465,1757.6
69.135,34.47,1759.8
69.135,34.475,1762.1
69.135,34.48,1764.5
69.135,34.485,1767.5
69.135,34.49,1771.8
69.135,34.495,1778.9
69.135,34.5,1790.9
69.135,34.505,1809.6
69.135,34.51,1834.5
69.135,34.515,1861.5
69.135,34.52,1883.4
69.135,34.525,1893.0
69.135,34.53,1887.3
69.135,34.535,1869.2
69.135,34.54,1846.0
69.135,34.545,1824.8
69.135,34.55,1809.9
69.135,34.555,1801.7
69.135,34.56,1798.6
69.135,34.565,1798.4
69.135,34.57,1799.5
69.135,34.575,1801.3
69.135,34.58,1803.2
69.135,34.585,1805.2
69.135,34.59,1807.2
69.135,34.595,1809.2
69.135,34.6,1811.2
69.135,34.605,1813.2
69.135,34.61,1815.2
69.14,34.46,1756.1
69.14,34.465,1758.4
69.14,34.47,1760.9
69.14,34.475,1763.5
69.14,34.48,1766.2
69.14,34.485,1769.2
69.14,34.49,1773.2
69.14,34.495,1779.2
69.14,34.5,1789.1
69.14,34.505,1804.2
69.14,34.51,1824.3
69.14,34.515,1846.2
69.14,34.52,1864.0
69.14,34.525,1872.0
69.14,34.53,1867.7
69.14,34.535,1853.4
69.14,34.54,1835.0
69.14,34.545,1818.4
69.14,34.55,1806.7
69.14,34.555,1800.5
69.14,34.56,1798.3
69.14,34.565,1798.5
69.14,34.57,1799.9
69.14,34.575,1801.7
69.14,34.58,1803.6
69.14,34.585,1805.6
69.14,34.59,1807.6
69.14,34.595,1809.6
69.14,34.6,1811.6
69.14,34.605,1813.6
69.14,34.61,1815.6
69.145,34.46,1757.0
69.145,34.465,1759.7
69.145,34.47,1762.7
69.145,34.475,1765.9
69.145,34.48,1769.1
69.145,34.485,1772.4
69.145,34.49,1776.0
69.145,34.495,1780.6
69.145,34.5,1787.6
69.145,34.505,1798.0
69.145,34.51,1811.9
69.145,34.515,1827.2
69.145,34.52,1839.8
69.145,34.525,1845.6
69.145,34.53,1843.0
69.145,34.535,1833.5
69.145,34.54,1821.2
69.145,34.545,1810.1
69.145,34.55,1802.6
69.145,34.555,1798.8
69.145,34.56,1797.9
69.145,34.565,1798.7
69.145,34.57,1800.2
69.145,34.575,1802.0
69.145,34.58,1804.0
69.145,34.585,1806.0
69.145,34.59,1808.0
69.145,34.595,1810.0
69.145,34.6,1812.0
69.145,34.605,1814.0
69.145,34.61,1816.0
69.15,34.46,1758.3
69.15,34.465,1761.7
69.15,34.47,1765.6
69.15,34.475,1769.8
69.15,34.48,1774.0
69.15,34.485,1777.8
69.15,34.49,1781.2
69.15,34.495,1784.4
69.15,34.5,1788.4
69.15,34.505,1794.1
69.15,34.51,1801.9
69.15,34.515,1810.6
69.15,34.52,1818.1
69.15,34.525,1821.8
69.15,34.53,1820.6
69.15,34.535,1815.4
69.15,34.54,1808.6
69.15,34.545,1802.6
69.15,34.55,1798.8
69.15,34.555,1797.3
69.15,34.56,1797.6
69.15,34.565,1798.8
69.15,34.57,1800.5
69.15,34.575,1802.4
69.15,34.58,1804.4
69.15,34.585,1806.4
69.15,34.59,1808.4
69.15,34.595,1810.4
69.15,34.6,1812.4
69.15,34.605,1814.4
69.15,34.61,1816.4
69.155,34.46,1760.1
69.155,34.465,1764.6
69.155,34.47,1769.8
69.155,34.475,1775.6
69.155,34.48,1781.3
69.155,34.485,1786.2
69.155,34.49,1789.7
69.155,34.495,1791.7
69.155,34.5,1793.0
69.155,34.505,1794.5
69.155,34.51,1797.0
69.155,34.515,1800.2
69.155,34.52,1803.3
69.155,34.525,1805.0
69.155,34.53,1804.6
69.155,34.535,1802.4
69.155,34.54,1799.6
69.155,34.545,1797.3
69.155,34.55,1796.2
69.155,34.555,1796.3
69.155,34.56,1797.4
69.155,34.565,1799.0
69.155,34.57,1800.9
69.155,34.575,1802.8
69.155,34.58,1804.8
69.155,34.585,1806.8
69.155,34.59,1808.8
69.155,34.595,1810.8
69.155,34.6,1812.8
69.155,34.605,1814.8
69.155,34.61,1816.8
69.16,34.46,1762.4
69.16,34.465,1768.2
69.16,34.47,1775.4
69.16,34.475,1783.3
69.16,34.48,1791.2
69.16,34.485,1797.6
69.16,34.49,1801.5
69.16,34.495,1802.8
69.16,34.5,1801.8
69.16,34.505,1799.7
69.16,34.51,1797.8
69.16,34.515,1796.7
69.16,34.52,1796.2
69.16,34.525,1796.0
69.16,34.53,1795.6
69.16,34.535,1795.0
69.16,34.54,1794.4
69.16,34.545,1794.3
69.16,34.55,1794.8
69.16,34.555,1795.9
69.16,34.56,1797.5
69.16,34.565,1799.3
69.16,34.57,1801.2
69.16,34.575,1803.2
69.16,34.58,1805.2
69.16,34.585,1807.2
69.16,34.59,1809.2
69.16,34.595,1811.2
69.16,34.6,1813.2
69.16,34.605,1815.2
69.16,34.61,1817.2
69.165,34.46,1765.0
69.165,34.465,1772.4
69.165,34.47,1781.7
69.165,34.475,1792.3
69.165,34.48,1802.6
69.165,34.485,1811.0
69.165,34.49,1815.9
69.165,34.495,1816.7
69.165,34.5,1814.0
69.165,34.505,1809.2
69.165,34.51,1803.8
69.165,34.515,1799.1
69.165,34.52,1795.6
69.165,34.525,1793.5
69.165,34.53,1792.3
69.165,34.535,1792.0
69.165,34.54,1792.2
69.165,34.545,1793.1
69.165,34.55,1794.3
69.165,34.555,1795.9
69.165,34.56,1797.7
69.165,34.565,1799.6
69.165,34.57,1801.6
69.165,34.575,1803.6
69.165,34.58,1805.6
69.165,34.585,1807.6
69.165,34.59,1809.6
69.165,34.595,1811.6
69.165,34.6,1813.6
69.165,34.605,1815.6
69.165,34.61,1817.6
69.17,34.46,1767.5
69.17,34.465,1776.5
69.17,34.47,1787.9
69.17,34.475,1801.0
69.17,34.48,1813.9
69.17,34.485,1824.5
69.17,34.49,1830.8
69.17,34.495,1832.0
69.17,34.5,1828.5
69.17,34.505,1821.9
69.17,34.51,1813.9
69.17,34.515,1806.3
69.17,34.52,1800.0
69.17,34.525,1795.6
69.17,34.53,1793.0
69.17,34.535,1791.9
69.17,34.54,1792.0
69.17,34.545,1793.0
69.17,34.55,1794.4
69.17,34.555,1796.2
69.17,34.56,1798.1
69.17,34.565,1800.0
69.17,34.57,1802.0
69.17,34.575,1804.0
69.17,34.58,1806.0
69.17,34.585,1808.0
69.17,34.59,1810.0
69.17,34.595,1812.0
69.17,34.6,1814.0
69.17,34.605,1816.0
69.17,34.61,1818.0
69.175,34.46,1769.4
69.175,34.465,1779.6
69.175,34.47,1792.7
69.175,34.475,1807.7
69.175,34.48,1822.9
69.175,34.485,1835.7
69.175,34.49,1843.9
69.175,34.495,1846.5
69.175,34.5,1843.7
69.175,34.505,1836.7
69.175,34.51,1827.4
69.175,34.515,1817.5
69.175,34.52,1808.4
69.175,34.525,1801.3
69.175,34.53,1796.4
69.175,34.535,1793.8
69.175,34.54,1793.0
69.175,34.545,1793.6
69.175,34.55,1794.9
69.175,34.555,1796.6
69.175,34.56,1798.5
69.175,34.565,1800.4
69.175,34.57,1802.4
69.175,34.575,1804.4
69.175,34.58,1806.4
69.175,34.585,1808.4
69.175,34.59,1810.4
69.175,34.595,1812.4
69.175,34.6,1814.4
69.175,34.605,1816.4
69.175,34.61,1818.4
69.18,34.46,1770.4
69.18,34.465,1781.1
69.18,34.47,1794.9
69.18,34.475,1811.0
69.18,34.48,1827.6
69.18,34.485,1842.3
69.18,34.49,1853.0
69.18,34.495,1858.3
69.18,34.5,1857.9
69.18,34.505,1852.6
69.18,34.51,1843.4
69.18,34.515,1832.0
69.18,34.52,1820.2
69.18,34.525,1809.8
69.18,34.53,1801.9
69.18,34.535,1797.0
69.18,34.54,1794.8
69.18,34.545,1794.5
69.18,34.55,1795.5
69.18,34.555,1797.0
69.18,34.56,1798.9
69.18,34.565,1800.8
69.18,34.57,1802.8
69.18,34.575,1804.8
69.18,34.58,1806.8
69.18,34.585,1808.8
69.18,34.59,1810.8
69.18,34.595,1812.8
69.18,34.6,1814.8
69.18,34.605,1816.8
69.18,34.61,1818.8
69.185,34.46,1770.3
69.185,34.465,1780.6
69.185,34.47,1794.1
69.185,34.475,1810.1
69.185,34.48,1827.1
69.185,34.485,1843.3
69.185,34.49,1856.7
69.185,34.495,1865.8
69.185,34.5,1869.7
69.185,34.505,1867.8
69.185,34.51,1860.4
69.185,34.515,1848.5
69.185,34.52,1834.2
69.185,34.525,1820.2
69.185,34.53,1808.8
69.185,34.535,1801.1
69.185,34.54,1797.1
69.185,34.545,1795.8
69.185,34.55,1796.2
69.185,34.555,1797.5
69.185,34.56,1799.3
69.185,34.565,1801.2
69.185,34.57,1803.2
69.185,34.575,1805.2
69.185,34.58,1807.2
69.185,34.585,1809.2
69.185,34.59,1811.2
69.185,34.595,1813.2
69.185,34.6,1815.2
69.185,34.605,1817.2
69.185,34.61,1819.2
69.19,34.46,1769.2
69.19,34.465,1778.5
69.19,34.47,1790.6
69.19,34.475,1805.4
69.19,34.48,1821.9
69.19,34.485,1838.8
69.19,34.49,1854.7
69.19,34.495,1868.1
69.19,34.5,1877.1
69.19,34.505,1880.0
69.19,34.51,1875.4
69.19,34.515,1863.9
69.19,34.52,1847.7
69.19,34.525,1830.5
69.19,34.53,1815.7
69.19,34.535,1805.3
69.19,34.54,1799.4
69.19,34.545,1797.0
69.19,34.55,1796.9
69.19,34.555,1798.1
69.19,34.56,1799.7
69.19,34.565,1801.6
69.19,34.57,1803.6
69.19,34.575,1805.6
69.19,34.58,1807.6
69.19,34.585,1809.6
69.19,34.59,1811.6
69.19,34.595,1813.6
69.19,34.6,1815.6
69.19,34.605,1817.6
69.19,34.61,1819.6
69.195,34.46,1767.5
69.195,34.465,1775.3
69.195,34.47,1785.6
69.195,34.475,1798.4
69.195,34.48,1813.5
69.195,34.485,1830.2
69.195,34.49,1847.7
69.195,34.495,1864.6
69.195,34.5,1878.4
69.195,34.505,1885.9
69.195,34.51,1884.6
69.195,34.515,1874.2
69.195,34.52,1857.2
69.195,34.525,1838.0
69.195,34.53,1820.9
69.195,34.535,1808.5
69.195,34.54,1801.2
69.195,34.545,1798.1
69.195,34.55,1797.6
69.195,34.555,1798.5
69.195,34.56,1800.2
69.195,34.565,1802.0
69.195,34.57,1804.0
69.195,34.575,1806.0
69.195,34.58,1808.0
69.195,34.585,1810.0
69.195,34.59,1812.0
69.195,34.595,1814.0
69.195,34.6,1816.0
69.195,34.605,1818.0
69.195,34.61,1820.0
69.2,34.46,1765.8
69.2,34.465,1772.0
69.2,34.47,1780.2
69.2,34.475,1790.7
69.2,34.48,1803.6
69.2,34.485,1819.2
69.2,34.49,1837.0
69.2,34.495,1855.6
69.2,34.5,1872.2
69.2,34.505,1883.0
69.2,34.51,1884.5
69.2,34.515,1876.0
69.2,34.52,1859.7
69.2,34.525,1840.4
69.2,34.53,1822.8
69.2,34.535,1809.8
69.2,34.54,1802.1
69.2,34.545,1798.7
69.2,34.55,1798.1
69.2,34.555,1799.0
69.2,34.56,1800.6
69.2,34.565,1802.4
69.2,34.57,1804.4
69.2,34.575,1806.4
69.2,34.58,1808.4
69.2,34.585,1810.4
69.2,34.59,1812.4
69.2,34.595,1814.4
69.2,34.6,1816.4
69.2,34.605,1818.4
69.2,34.61,1820.4
69.205,34.46,1764.3
69.205,34.465,1769.1
69.205,34.47,1775.4
69.205,34.475,1783.5
69.205,34.48,1794.1
69.205,34.485,1807.6
69.205,34.49,1824.0
69.205,34.495,1842.1
69.205,34.5,1859.1
69.205,34.505,1871.0
69.205,34.51,1874.4
69.205,34.515,1868.0
69.205,34.52,1854.0
69.205,34.525,1836.7
69.205,34.53,1820.7
69.205,34.535,1808.9
69.205,34.54,1801.8
69.205,34.545,1798.8
69.205,34.55,1798.4
69.205,34.555,1799.3
69.205,34.56,1801.0
69.205,34.565,1802.8
69.205,34.57,1804.8
69.205,34.575,1806.8
69.205,34.58,1808.8
69.205,34.585,1810.8
69.205,34.59,1812.8
69.205,34.595,1814.8
69.205,34.6,1816.8
69.205,34.605,1818.8
69.205,34.61,1820.8
69.21,34.46,1763.2
69.21,34.465,1767.0
69.21,34.47,1771.7
69.21,34.475,1777.9
69.21,34.48,1786.1
69.21,34.485,1796.9
69.21,34.49,1810.6
69.21,34.495,1826.1
69.21,34.5,1841.3
69.21,34.505,1852.4
69.21,34.51,1856.5
69.21,34.515,1852.4
69.21,34.52,1841.7
69.21,34.525,1828.1
69.21,34.53,1815.5
69.21,34.535,1806.1
69.21,34.54,1800.7
69.21,34.545,1798.5
69.21,34.55,1798.5
69.21,34.555,1799.6
69.21,34.56,1801.3
69.21,34.565,1803.2
69.21,34.57,1805.2
69.21,34.575,1807.2
69.21,34.58,1809.2
69.21,34.585,1811.2
69.21,34.59,1813.2
69.21,34.595,1815.2
69.21,34.6,1817.2
69.21,34.605,1819.2
69.21,34.61,1821.2
69.215,34.46,1762.7
69.215,34.465,1765.7
69.215,34.47,1769.3
69.215,34.475,1773.9
69.215,34.48,1780.0
69.215,34.485,1788.1
69.215,34.49,1798.5
69.215,34.495,1810.6
69.215,34.5,1822.5
69.215,34.505,1831.6
69.215,34.51,1835.6
69.215,34.515,1833.5
69.215,34.52,1826.5
69.215,34.525,1817.3
69.215,34.53,1808.7
69.215,34.535,1802.5
69.215,34.54,1799.0
69.215,34.545,1798.0
69.215,34.55,1798.5
69.215,34.555,1799.9
69.215,34.56,1801.7
69.215,34.565,1803.6
69.215,34.57,1805.6
69.215,34.575,1807.6
69.215,34.58,1809.6
69.215,34.585,1811.6
69.215,34.59,1813.6
69.215,34.595,1815.6
69.215,34.6,1817.6
69.215,34.605,1819.6
69.215,34.61,1821.6
69.22,34.46,1762.5
69.22,34.465,1765.0
69.22,34.47,1767.9
69.22,34.475,1771.4
69.22,34.48,1775.8
69.22,34.485,1781.7
69.22,34.49,1789.0
69.22,34.495,1797.6
69.22,34.5,1806.1
69.22,34.505,1812.9
69.22,34.51,1816.4
69.22,34.515,1815.9
69.22,34.52,1812.3
69.22,34.525,1807.1
69.22,34.53,1802.3
69.22,34.535,1799.0
69.22,34.54,1797.5
69.22,34.545,1797.6
69.22,34.55,1798.6
69.22,34.555,1800.2
69.22,34.56,1802.1
69.22,34.565,1804.0
69.22,34.57,1806.0
69.22,34.575,1808.0
69.22,34.58,1810.0
69.22,34.585,1812.0
69.22,34.59,1814.0
69.22,34.595,1816.0
69.22,34.6,1818.0
69.22,34.605,1820.0
69.22,34.61,1822.0
69.225,34.46,1762.6
69.225,34.465,1764.9
69.225,34.47,1767.3
69.225,34.475,1770.1
69.225,34.48,1773.4
69.225,34.485,1777.5
69.225,34.49,1782.6
69.225,34.495,1788.3
69.225,34.5,1794.1
69.225,34.505,1798.9
69.225,34.51,1801.8
69.225,34.515,1802.5
69.225,34.52,1801.3
69.225,34.525,1799.3
69.225,34.53,1797.4
69.225,34.535,1796.4
69.225,34.54,1796.4
69.225,34.545,1797.3
69.225,34.55,1798.7
69.225,34.555,1800.5
69.225,34.56,1802.4
69.225,34.565,1804.4
69.225,34.57,1806.4
69.225,34.575,1808.4
69.225,34.58,1810.4
69.225,34.585,1812.4
69.225,34.59,1814.4
69.225,34.595,1816.4
69.225,34.6,1818.4
69.225,34.605,1820.4
69.225,34.61,1822.4
69.23,34.46,1762.9
69.23,34.465,1765.0
69.23,34.47,1767.2
69.23,34.475,1769.5
69.23,34.48,1772.2
69.23,34.485,1775.2
69.23,34.49,1778.8
69.23,34.495,1782.7
69.23,34.5,1786.6
69.23,34.505,1790.0
69.23,34.51,1792.5
69.23,34.515,1793.8
69.23,34.52,1794.3
69.23,34.525,1794.2
69.23,34.53,1794.3
69.23,34.535,1794.8
69.23,34.54,1795.8
69.23,34.545,1797.2
69.23,34.55,1799.0
69.23,34.555,1800.9
69.23,34.56,1802.8
69.23,34.565,1804.8
69.23,34.57,1806.8
69.23,34.575,1808.8
69.23,34.58,1810.8
69.23,34.585,1812.8
69.23,34.59,1814.8
69.23,34.595,1816.8
69.23,34.6,1818.8
69.23,34.605,1820.8
69.23,34.61,1822.8
69.235,34.46,1763.2
69.235,34.465,1765.3
69.235,34.47,1767.4
69.235,34.475,1769.5
69.235,34.48,1771.8
69.235,34.485,1774.2
69.235,34.49,1776.9
69.235,34.495,1779.8
69.235,34.5,1782.6
69.235,34.505,1785.3
69.235,34.51,1787.5
69.235,34.515,1789.2
69.235,34.52,1790.5
69.235,34.525,1791.6
69.235,34.53,1792.8
69.235,34.535,1794.1
69.235,34.54,1795.6
69.235,34.545,1797.4
69.235,34.55,1799.3
69.235,34.555,1801.2
69.235,34.56,1803.2
69.235,34.565,1805.2
69.235,34.57,1807.2
69.235,34.575,1809.2
69.235,34.58,1811.2
69.235,34.585,1813.2
69.235,34.59,1815.2
69.235,34.595,1817.2
69.235,34.6,1819.2
69.235,34.605,1821.2
69.235,34.61,1823.2
69.24,34.46,1763.6
69.24,34.465,1765.6
69.24,34.47,1767.7
69.24,34.475,1769.7
69.24,34.48,1771.8
69.24,34.485,1774.0
69.24,34.49,1776.3
69.24,34.495,1778.6
69.24,34.5,1780.9
69.24,34.505,1783.2
69.24,34.51,1785.3
69.24,34.515,1787.2
69.24,34.52,1788.9
69.24,34.525,1790.5
69.24,34.53,1792.2
69.24,34.535,1793.9
69.24,34.54,1795.8
69.24,34.545,1797.7
69.24,34.55,1799.6
69.24,34.555,1801.6
